rgn_id,stock,year,landings
4,CONGRIO DORADO,2000,12
4,JUREL,2000,2814
4,LANGOSTINO AMARILLO,2000,392
4,LANGOSTINO COLORADO,2000,37
4,MERLUZA COMUN,2000,707
4,RAYA VOLANTIN,2000,0
4,SARDINA COMUN,2000,8
4,BACALAO DE PROFUNDIDAD,2000,3
4,JUREL,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,ANCHOVETA,2000,666
4,BACALAO DE PROFUNDIDAD,2000,0
4,CONGRIO DORADO,2000,12
4,JUREL,2000,450
4,LANGOSTINO AMARILLO,2000,0
4,LANGOSTINO COLORADO,2000,0
4,MERLUZA COMUN,2000,99
4,RAYA VOLANTIN,2000,0
4,SARDINA COMUN,2000,0
4,ALBACORA O PEZ ESPADA,2000,0
4,ANCHOVETA,2000,0
4,BACALAO DE PROFUNDIDAD,2000,0
4,CAMARON NAILON,2000,0
4,CONGRIO DORADO,2000,96
4,JUREL,2000,18
4,LANGOSTINO AMARILLO,2000,0
4,LANGOSTINO COLORADO,2000,0
4,MERLUZA COMUN,2000,533
4,SARDINA COMUN,2000,0
4,ANCHOVETA,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,SARDINA COMUN,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,SARDINA COMUN,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,JUREL,2000,1
4,MERLUZA COMUN,2000,0
4,BACALAO DE PROFUNDIDAD,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,JUREL,2000,0
4,JUREL,2000,1
4,MERLUZA COMUN,2000,39
4,RAYA VOLANTIN,2000,0
4,ALBACORA O PEZ ESPADA,2000,0
4,BACALAO DE PROFUNDIDAD,2000,0
4,CAMARON NAILON,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,LANGOSTINO AMARILLO,2000,18
4,LANGOSTINO COLORADO,2000,0
4,MERLUZA COMUN,2000,0
4,SARDINA COMUN,2000,0
4,CAMARON NAILON,2000,0
4,JUREL,2000,0
4,LANGOSTINO COLORADO,2000,0
4,MERLUZA COMUN,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,1
4,JUREL,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,3
4,RAYA VOLANTIN,2000,0
4,MERLUZA COMUN,2000,0
4,ANCHOVETA,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,10
4,MERLUZA COMUN,2000,0
4,RAYA VOLANTIN,2000,0
4,SARDINA COMUN,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,ANCHOVETA,2000,0
4,BACALAO DE PROFUNDIDAD,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,9
4,MERLUZA COMUN,2000,76
4,RAYA VOLANTIN,2000,0
4,SARDINA COMUN,2000,0
4,BACALAO DE PROFUNDIDAD,2000,0
4,CAMARON NAILON,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,LANGOSTINO AMARILLO,2000,0
4,MERLUZA COMUN,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,ANCHOVETA,2000,0
4,BACALAO DE PROFUNDIDAD,2000,1
4,CAMARON NAILON,2000,0
4,CONGRIO DORADO,2000,1
4,JUREL,2000,373
4,MERLUZA COMUN,2000,90
4,SARDINA COMUN,2000,0
4,JUREL,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,CONGRIO DORADO,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
4,JUREL,2000,0
4,MERLUZA COMUN,2000,0
5,ALBACORA O PEZ ESPADA,2000,0
5,JUREL,2000,0
5,CONGRIO DORADO,2000,8
5,JUREL,2000,1
5,MERLUZA COMUN,2000,3
5,RAYA VOLANTIN,2000,0
5,JUREL,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,0
5,MERLUZA COMUN,2000,0
5,RAYA VOLANTIN,2000,0
5,MERLUZA COMUN,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,0
5,MERLUZA COMUN,2000,254
5,SARDINA COMUN,2000,0
5,ALBACORA O PEZ ESPADA,2000,0
5,ANCHOVETA,2000,0
5,BACALAO DE PROFUNDIDAD,2000,15
5,CAMARON NAILON,2000,129
5,CONGRIO DORADO,2000,21
5,JUREL,2000,0
5,LANGOSTINO AMARILLO,2000,0
5,LANGOSTINO COLORADO,2000,0
5,MERLUZA COMUN,2000,20
5,MERLUZA DE COLA,2000,0
5,RAYA VOLANTIN,2000,0
5,SARDINA COMUN,2000,0
5,ANCHOVETA,2000,0
5,CAMARON NAILON,2000,0
5,CONGRIO DORADO,2000,5
5,JUREL,2000,0
5,MERLUZA COMUN,2000,889
5,MERLUZA DEL SUR O AUSTRAL,2000,0
5,RAYA VOLANTIN,2000,0
5,SARDINA COMUN,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,0
5,MERLUZA COMUN,2000,0
5,RAYA VOLANTIN,2000,0
5,SARDINA COMUN,2000,0
5,ANCHOVETA,2000,29
5,BACALAO DE PROFUNDIDAD,2000,7
5,CONGRIO DORADO,2000,0
5,JUREL,2000,2
5,LANGOSTINO AMARILLO,2000,0
5,LANGOSTINO COLORADO,2000,0
5,MERLUZA COMUN,2000,1766
5,SARDINA COMUN,2000,12
5,ALBACORA O PEZ ESPADA,2000,15
5,ANCHOVETA,2000,0
5,BACALAO DE PROFUNDIDAD,2000,0
5,CONGRIO DORADO,2000,10
5,JUREL,2000,1
5,MERLUZA COMUN,2000,169
5,RAYA VOLANTIN,2000,0
5,SARDINA COMUN,2000,0
5,ALBACORA O PEZ ESPADA,2000,1
5,BACALAO DE PROFUNDIDAD,2000,0
5,ALBACORA O PEZ ESPADA,2000,2
5,BACALAO DE PROFUNDIDAD,2000,0
5,JUREL,2000,14
5,LANGOSTINO AMARILLO,2000,0
5,MERLUZA COMUN,2000,1530
5,MERLUZA DEL SUR O AUSTRAL,2000,0
5,RAYA VOLANTIN,2000,0
5,SARDINA COMUN,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,0
5,MERLUZA COMUN,2000,1113
5,MERLUZA DE COLA,2000,0
5,SARDINA COMUN,2000,0
5,ALBACORA O PEZ ESPADA,2000,0
5,ALBACORA O PEZ ESPADA,2000,0
5,BACALAO DE PROFUNDIDAD,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,17
5,MERLUZA COMUN,2000,0
5,MERLUZA DEL SUR O AUSTRAL,2000,0
5,BACALAO DE PROFUNDIDAD,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,0
5,MERLUZA COMUN,2000,12
5,JUREL,2000,0
5,CONGRIO DORADO,2000,0
5,JUREL,2000,0
5,MERLUZA COMUN,2000,3
5,CONGRIO DORADO,2000,0
5,JUREL,2000,1
5,MERLUZA COMUN,2000,219
5,RAYA VOLANTIN,2000,0
5,SARDINA COMUN,2000,16
5,BACALAO DE PROFUNDIDAD,2000,0
5,CONGRIO DORADO,2000,16
