rgn_id,port,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2,ANTOFAGASTA,TIBURON O MARRAJO,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
2,ANTOFAGASTA,TIBURON O MARRAJO DENTUDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,MEJILLONES,AGUJILLA,31,141,78,74,78,100,9,46,5,3,19,105,93,269,22
2,MEJILLONES,ANCHOVETA,143310,99831,73774,33205,44676,39971,34135,24878,6018,17844,38192,50289,45909,91662,54148
2,MEJILLONES,ANCHOVETA BLANCA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MEJILLONES,ANGUILA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,MEJILLONES,BACALADILLO O MOTE,132,16,0,0,0,0,90,0,0,0,0,65,2,0,0
2,MEJILLONES,CABALLA,9909,16707,13930,8007,8673,2198,1826,3987,4161,5086,4929,473,163,780,435
2,MEJILLONES,CALAMAR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,MEJILLONES,JIBIA O CALAMAR ROJO,0,2,84,85,136,310,24,93,13,34,0,156,8,27,12
2,MEJILLONES,JUREL,20275,34612,23399,15873,38592,17351,4413,14662,21625,15581,46324,5502,723,3792,2183
2,MEJILLONES,LANGOSTINO ENANO,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2,MEJILLONES,PAMPANITO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,MEJILLONES,PEJERREY DE MAR,0,1,26,23,47,2,88,15,2,24,0,2,0,0,2
2,MEJILLONES,PESCADO NO CLASIFICADO,0,0,0,16,21,6,10,0,0,0,0,47,20,13,135
2,MEJILLONES,SARDINA COMUN,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MEJILLONES,SARDINA ESPAÑOLA,4942,3385,555,7,0,0,0,0,0,0,0,0,0,0,0
2,TALTAL,CAMARON NAILON,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TALTAL,MERLUZA COMUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TALTAL,TIBURON O MARRAJO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,TOCOPILLA,AGUJILLA,0,170,80,265,206,128,18,27,29,33,294,554,594,0,0
2,TOCOPILLA,ANCHOVETA,109358,54120,73133,56335,124469,93338,44104,37953,48996,40782,45094,62287,12623,0,0
2,TOCOPILLA,BACALADILLO O MOTE,0,0,0,0,19,207,1033,0,0,0,347,284,0,0,0
2,TOCOPILLA,BONITO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,TOCOPILLA,CABALLA,7419,11414,12560,29969,25753,3424,2526,2023,1025,1021,6180,612,258,0,0
