rgn_id,stock,year,landings
10,CONGRIO DORADO,2000,374
10,JUREL,2000,1
10,MERLUZA COMUN,2000,82
10,MERLUZA DE COLA,2000,27
10,MERLUZA DE TRES ALETAS,2000,0
10,MERLUZA DEL SUR O AUSTRAL,2000,921
10,RAYA VOLANTIN,2000,123
10,BACALAO DE PROFUNDIDAD,2000,166
10,CONGRIO DORADO,2000,0
10,MERLUZA COMUN,2000,0
10,MERLUZA DE COLA,2000,0
10,MERLUZA DEL SUR O AUSTRAL,2000,0
10,RAYA VOLANTIN,2000,0
11,BACALAO DE PROFUNDIDAD,2000,22
11,CONGRIO DORADO,2000,1628
11,MERLUZA COMUN,2000,844
11,MERLUZA DE COLA,2000,766
11,MERLUZA DE TRES ALETAS,2000,2
11,MERLUZA DEL SUR O AUSTRAL,2000,7235
11,RAYA VOLANTIN,2000,193
11,CONGRIO DORADO,2000,0
11,MERLUZA COMUN,2000,0
11,MERLUZA DE COLA,2000,0
11,MERLUZA DE TRES ALETAS,2000,0
11,MERLUZA DEL SUR O AUSTRAL,2000,0
11,RAYA VOLANTIN,2000,0
12,BACALAO DE PROFUNDIDAD,2000,0
12,BACALAO DE PROFUNDIDAD,2000,0
12,BACALAO DE PROFUNDIDAD,2000,440
12,CONGRIO DORADO,2000,34
12,MERLUZA DEL SUR O AUSTRAL,2000,0
15,ANCHOVETA,2001,121787
15,BACALAO DE PROFUNDIDAD,2001,1
15,JUREL,2001,11908
1,ALBACORA O PEZ ESPADA,2001,0
1,ANCHOVETA,2001,328945
1,BACALAO DE PROFUNDIDAD,2001,7
1,CAMARON NAILON,2001,0
1,JUREL,2001,176810
1,LANGOSTINO COLORADO,2001,39
1,SARDINA COMUN,2001,1
2,ALBACORA O PEZ ESPADA,2001,0
2,ANCHOVETA,2001,0
2,BACALAO DE PROFUNDIDAD,2001,0
2,ANCHOVETA,2001,99831
2,JUREL,2001,34612
2,SARDINA COMUN,2001,7
2,CAMARON NAILON,2001,1
2,MERLUZA COMUN,2001,0
2,ANCHOVETA,2001,54120
2,JUREL,2001,24434
3,ALBACORA O PEZ ESPADA,2001,15
3,ANCHOVETA,2001,5558
3,BACALAO DE PROFUNDIDAD,2001,1
3,CAMARON NAILON,2001,312
3,JUREL,2001,855
3,LANGOSTINO AMARILLO,2001,29
3,LANGOSTINO COLORADO,2001,378
3,MERLUZA COMUN,2001,19
3,CAMARON NAILON,2001,0
3,LANGOSTINO COLORADO,2001,0
3,MERLUZA COMUN,2001,0
3,ANCHOVETA,2001,0
3,BACALAO DE PROFUNDIDAD,2001,0
3,CAMARON NAILON,2001,102
3,JUREL,2001,0
3,LANGOSTINO AMARILLO,2001,396
3,LANGOSTINO COLORADO,2001,0
3,MERLUZA COMUN,2001,12
4,ALBACORA O PEZ ESPADA,2001,1089
4,ANCHOVETA,2001,12
4,BACALAO DE PROFUNDIDAD,2001,0
4,CAMARON NAILON,2001,2170
4,CONGRIO DORADO,2001,0
4,JUREL,2001,16851
4,LANGOSTINO AMARILLO,2001,927
4,LANGOSTINO COLORADO,2001,570
4,MERLUZA COMUN,2001,129
4,SARDINA COMUN,2001,0
4,ANCHOVETA,2001,0
4,CAMARON NAILON,2001,1
4,LANGOSTINO AMARILLO,2001,0
4,LANGOSTINO COLORADO,2001,0
4,MERLUZA COMUN,2001,0
5,CAMARON NAILON,2001,1223
5,CONGRIO DORADO,2001,0
5,LANGOSTINO AMARILLO,2001,164
5,LANGOSTINO COLORADO,2001,0
5,MERLUZA COMUN,2001,48
5,RAYA VOLANTIN,2001,0
5,ALBACORA O PEZ ESPADA,2001,7
5,ANCHOVETA,2001,0
5,BACALAO DE PROFUNDIDAD,2001,6
5,CAMARON NAILON,2001,0
5,CONGRIO DORADO,2001,0
5,JUREL,2001,0
5,LANGOSTINO AMARILLO,2001,0
5,LANGOSTINO COLORADO,2001,0
5,MERLUZA COMUN,2001,15179
5,MERLUZA DE COLA,2001,0
5,MERLUZA DEL SUR O AUSTRAL,2001,0
5,RAYA VOLANTIN,2001,0
5,SARDINA COMUN,2001,0
5,ALBACORA O PEZ ESPADA,2001,33
5,ANCHOVETA,2001,111
5,BACALAO DE PROFUNDIDAD,2001,5
5,CAMARON NAILON,2001,47
5,CONGRIO DORADO,2001,0
5,LANGOSTINO AMARILLO,2001,5
5,LANGOSTINO COLORADO,2001,0
5,MERLUZA COMUN,2001,2905
5,MERLUZA DE COLA,2001,0
5,RAYA VOLANTIN,2001,0
7,ALBACORA O PEZ ESPADA,2001,8
7,BACALAO DE PROFUNDIDAD,2001,11
7,CONGRIO DORADO,2001,15
7,MERLUZA COMUN,2001,0
7,RAYA VOLANTIN,2001,2
8,ANCHOVETA,2001,5853
8,JUREL,2001,438629
8,MERLUZA COMUN,2001,42
8,MERLUZA DE COLA,2001,45956
8,MERLUZA DE TRES ALETAS,2001,0
8,MERLUZA DEL SUR O AUSTRAL,2001,0
8,SARDINA COMUN,2001,12562
8,MERLUZA COMUN,2001,0
8,MERLUZA DE COLA,2001,0
8,ANCHOVETA,2001,0
8,JUREL,2001,0
8,MERLUZA DE COLA,2001,0
8,SARDINA COMUN,2001,0
8,ALBACORA O PEZ ESPADA,2001,0
8,ANCHOVETA,2001,8810
8,BACALAO DE PROFUNDIDAD,2001,2
8,CAMARON NAILON,2001,0
8,CONGRIO DORADO,2001,28
8,JUREL,2001,617190
8,LANGOSTINO COLORADO,2001,0
8,MERLUZA COMUN,2001,20382
8,MERLUZA DE COLA,2001,55900
8,MERLUZA DEL SUR O AUSTRAL,2001,135
8,RAYA VOLANTIN,2001,0
8,SARDINA COMUN,2001,10379
8,ALBACORA O PEZ ESPADA,2001,0
8,ANCHOVETA,2001,3820
8,BACALAO DE PROFUNDIDAD,2001,0
8,CAMARON NAILON,2001,1
8,CONGRIO DORADO,2001,342
8,JUREL,2001,236155
8,LANGOSTINO AMARILLO,2001,0
8,LANGOSTINO COLORADO,2001,0
8,MERLUZA COMUN,2001,49158
8,MERLUZA DE COLA,2001,26244
8,MERLUZA DE TRES ALETAS,2001,0
8,MERLUZA DEL SUR O AUSTRAL,2001,288
8,RAYA VOLANTIN,2001,98
8,SARDINA COMUN,2001,6264
8,ANCHOVETA,2001,2358
8,CAMARON NAILON,2001,0
8,CONGRIO DORADO,2001,0
8,JUREL,2001,36205
8,LANGOSTINO AMARILLO,2001,2
8,LANGOSTINO COLORADO,2001,5
8,MERLUZA COMUN,2001,636
8,MERLUZA DE COLA,2001,638
8,MERLUZA DEL SUR O AUSTRAL,2001,5
8,RAYA VOLANTIN,2001,0
8,SARDINA COMUN,2001,772
14,ANCHOVETA,2001,11100
14,JUREL,2001,25956
14,MERLUZA COMUN,2001,23
14,MERLUZA DE COLA,2001,6852
14,MERLUZA DE TRES ALETAS,2001,0
14,MERLUZA DEL SUR O AUSTRAL,2001,0
14,RAYA VOLANTIN,2001,0
14,SARDINA COMUN,2001,18924
14,ANCHOVETA,2001,0
14,BACALAO DE PROFUNDIDAD,2001,19
14,JUREL,2001,0
14,MERLUZA COMUN,2001,0
14,MERLUZA DE COLA,2001,0
14,MERLUZA DEL SUR O AUSTRAL,2001,0
14,RAYA VOLANTIN,2001,0
14,SARDINA COMUN,2001,0
10,ANCHOVETA,2001,0
10,BACALAO DE PROFUNDIDAD,2001,2
10,CAMARON NAILON,2001,0
10,JUREL,2001,0
10,MERLUZA DE COLA,2001,0
10,MERLUZA DEL SUR O AUSTRAL,2001,0
10,ANCHOVETA,2001,0
10,MERLUZA DE COLA,2001,0
10,SARDINA COMUN,2001,0
10,ANCHOVETA,2001,0
10,BACALAO DE PROFUNDIDAD,2001,63
10,CONGRIO DORADO,2001,182
10,JUREL,2001,0
10,MERLUZA COMUN,2001,0
10,MERLUZA DE COLA,2001,689
10,MERLUZA DE TRES ALETAS,2001,0
10,MERLUZA DEL SUR O AUSTRAL,2001,130
10,RAYA VOLANTIN,2001,12
10,BACALAO DE PROFUNDIDAD,2001,63
10,CONGRIO DORADO,2001,0
10,MERLUZA COMUN,2001,0
10,MERLUZA DE COLA,2001,0
10,MERLUZA DEL SUR O AUSTRAL,2001,0
10,RAYA VOLANTIN,2001,0
11,BACALAO DE PROFUNDIDAD,2001,0
11,CONGRIO DORADO,2001,1982
11,MERLUZA COMUN,2001,446
11,MERLUZA DE COLA,2001,8333
11,MERLUZA DE TRES ALETAS,2001,0
11,MERLUZA DEL SUR O AUSTRAL,2001,5587
11,RAYA VOLANTIN,2001,205
11,CONGRIO DORADO,2001,0
11,MERLUZA COMUN,2001,0
11,MERLUZA DE COLA,2001,0
11,MERLUZA DE TRES ALETAS,2001,0
11,MERLUZA DEL SUR O AUSTRAL,2001,0
11,RAYA VOLANTIN,2001,0
12,BACALAO DE PROFUNDIDAD,2001,0
12,BACALAO DE PROFUNDIDAD,2001,38
12,BACALAO DE PROFUNDIDAD,2001,76
12,CONGRIO DORADO,2001,0
12,MERLUZA DEL SUR O AUSTRAL,2001,0
15,ANCHOVETA,2002,224272
15,BACALAO DE PROFUNDIDAD,2002,0
15,JUREL,2002,13945
1,ALBACORA O PEZ ESPADA,2002,0
1,ANCHOVETA,2002,744391
1,BACALAO DE PROFUNDIDAD,2002,2
1,CAMARON NAILON,2002,0
1,JUREL,2002,53127
1,LANGOSTINO COLORADO,2002,0
1,SARDINA COMUN,2002,0
2,ALBACORA O PEZ ESPADA,2002,0
2,ANCHOVETA,2002,0
2,BACALAO DE PROFUNDIDAD,2002,3
2,ANCHOVETA,2002,73774
2,JUREL,2002,23399
2,SARDINA COMUN,2002,0
2,CAMARON NAILON,2002,0
2,MERLUZA COMUN,2002,0
2,ANCHOVETA,2002,73133
2,JUREL,2002,17562
3,ALBACORA O PEZ ESPADA,2002,2
3,ANCHOVETA,2002,195
3,BACALAO DE PROFUNDIDAD,2002,5
3,CAMARON NAILON,2002,0
3,JUREL,2002,518
3,LANGOSTINO AMARILLO,2002,1
3,LANGOSTINO COLORADO,2002,190
3,MERLUZA COMUN,2002,4
3,CAMARON NAILON,2002,28
3,LANGOSTINO COLORADO,2002,313
3,MERLUZA COMUN,2002,7
3,ANCHOVETA,2002,0
3,BACALAO DE PROFUNDIDAD,2002,1
3,CAMARON NAILON,2002,98
3,JUREL,2002,0
3,LANGOSTINO AMARILLO,2002,0
3,LANGOSTINO COLORADO,2002,40
3,MERLUZA COMUN,2002,4
4,ALBACORA O PEZ ESPADA,2002,122
4,ANCHOVETA,2002,7
4,BACALAO DE PROFUNDIDAD,2002,1
4,CAMARON NAILON,2002,1792
4,CONGRIO DORADO,2002,1
4,JUREL,2002,7725
4,LANGOSTINO AMARILLO,2002,389
4,LANGOSTINO COLORADO,2002,643
4,MERLUZA COMUN,2002,50
4,SARDINA COMUN,2002,0
4,ANCHOVETA,2002,0
4,CAMARON NAILON,2002,0
4,LANGOSTINO AMARILLO,2002,3
4,LANGOSTINO COLORADO,2002,0
4,MERLUZA COMUN,2002,0
5,CAMARON NAILON,2002,1097
5,CONGRIO DORADO,2002,1
5,LANGOSTINO AMARILLO,2002,42
5,LANGOSTINO COLORADO,2002,0
5,MERLUZA COMUN,2002,57
5,RAYA VOLANTIN,2002,3
5,ALBACORA O PEZ ESPADA,2002,28
5,ANCHOVETA,2002,669
5,BACALAO DE PROFUNDIDAD,2002,5
5,CAMARON NAILON,2002,5
5,CONGRIO DORADO,2002,0
5,JUREL,2002,0
5,LANGOSTINO AMARILLO,2002,0
5,LANGOSTINO COLORADO,2002,0
5,MERLUZA COMUN,2002,11950
5,MERLUZA DE COLA,2002,0
