rgn_id,CALETA,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,ARICA,TOMOYO,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,ARICA,TUMBAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,VIEJA O MULATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,ALMEJA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,CABRILLA COMUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,CHOLGA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,CORVINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,ERIZO,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,LAPA,2,3,3,24,36,54,1,0,0,0,0,0,0,0,0
1,CAMARONES,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,PEJEGALLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,PEJEPERRO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,PIURE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAMARONES,PULPO,4,12,0,1,12,28,58,0,0,0,0,0,0,0,0
1,CAÑAMO,ALMEJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,APAÑADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,CABRILLA COMUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,CHASCON O HUIRO NEGRO,226,1100,623,1096,0,2438,697,521,0,1029,1037,169,188,855,185
1,CAÑAMO,CONGRIO COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,CONGRIO NEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,CULENGUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,ERIZO,0,32,1,0,4,1,0,0,0,0,0,0,2,1,0
1,CAÑAMO,HUIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1,CAÑAMO,HUIRO PALO,260,472,281,522,0,7,130,44,0,0,83,3,7,25,0
1,CAÑAMO,JAIBA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,CAÑAMO,JAIBA PELUDA O PACHONA,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,LAPA,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
1,CAÑAMO,LAPA NEGRA,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
1,CAÑAMO,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,PEJEPERRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,PULPO,0,0,1,3,2,0,0,0,0,0,0,0,11,3,3
1,CAÑAMO,SARGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,TOMOYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CAÑAMO,VIEJA O MULATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,ACHA O HACHA,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0
1,CARAMUCHO,ALMEJA,1,55,1,0,0,0,12,3,0,8,8,3,0,0,0
1,CARAMUCHO,APAÑADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,BRECA O BILAGAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,CABRILLA COMUN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,CARACOL LOCATE,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,CHASCON O HUIRO NEGRO,893,0,0,697,0,8822,2807,6086,104,3783,2449,1335,1611,3142,1266
1,CARAMUCHO,COJINOBA DEL NORTE,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0
1,CARAMUCHO,CONGRIO NEGRO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,CORVINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,CULENGUE,0,8,1,26,0,0,0,0,0,0,2,0,0,0,0
1,CARAMUCHO,DORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,ERIZO,0,420,0,2,68,9,571,75,108,106,102,0,4,4,13
1,CARAMUCHO,HUIRO,0,0,0,0,0,0,0,74,0,0,0,0,0,0,44
1,CARAMUCHO,HUIRO PALO,109,0,0,0,0,29,187,19,0,288,541,112,195,76,35
1,CARAMUCHO,LAPA,0,12,11,27,57,7,148,138,36,79,25,3,0,0,0
1,CARAMUCHO,LAPA NEGRA,0,0,0,7,14,0,0,0,1,0,13,29,3,0,0
1,CARAMUCHO,LENGUADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,LENGUADO DE OJOS CHICOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CARAMUCHO,LOCO,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0
1,CARAMUCHO,PEJEPERRO,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0
