REGION,PORT,SPECIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,IQUIQUE,PESCADO NO CLASIFICADO, -   , -   , -   ,20, -   , -   ,1, -   , -   ,2, -   , -   , -   , -   , -   
1,IQUIQUE,SARDINA COMUN, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,SARDINA ESPAÑOLA,"18,924","6,193",506,82,85,3,17, -   , -   , -   ,1, -   , -   , -   , -   
1,IQUIQUE,SARDINA REDONDA, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,TOLLO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   
2,ANTOFAGASTA,ALBACORA O PEZ ESPADA, -   , -   , -   , -   , -   , -   , -   ,63,10,6,61,6,44,75, -   
2,ANTOFAGASTA,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16
2,ANTOFAGASTA,ANCHOVETA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,659
2,ANTOFAGASTA,BACALAO DE PROFUNDIDAD, -   , -   ,3,2,1,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,CENTOLLA DEL NORTE, -   , -   , -   , -   ,4,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,CENTOLLON DEL NORTE, -   , -   , -   ,21,11,18, -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,MARLIN, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,2, -   
2,ANTOFAGASTA,TIBURON O MARRAJO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,1, -   ,1, -   
2,ANTOFAGASTA,TIBURON O MARRAJO DENTUDO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
2,MEJILLONES,AGUJILLA,31,141,78,74,78,100,9,46,5,3,19,105,93,269,22
2,MEJILLONES,ANCHOVETA,"143,310","99,831","73,774","33,205","44,676","39,971","34,135","24,878","6,018","17,844","38,192","50,289","45,909","91,662","54,148"
2,MEJILLONES,ANCHOVETA BLANCA,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,MEJILLONES,ANGUILA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
2,MEJILLONES,BACALADILLO O MOTE,132,16, -   , -   , -   , -   ,90, -   , -   , -   , -   ,65,2, -   , -   
2,MEJILLONES,CABALLA,"9,909","16,707","13,930","8,007","8,673","2,198","1,826","3,987","4,161","5,086","4,929",473,163,780,435
2,MEJILLONES,CALAMAR, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,MEJILLONES,JIBIA O CALAMAR ROJO, -   ,2,84,85,136,310,24,93,13,34, -   ,156,8,27,12
2,MEJILLONES,JUREL,"20,275","34,612","23,399","15,873","38,592","17,351","4,413","14,662","21,625","15,581","46,324","5,502",723,"3,792","2,183"
2,MEJILLONES,LANGOSTINO ENANO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9, -   , -   , -   , -   
2,MEJILLONES,PAMPANITO, -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
2,MEJILLONES,PEJERREY DE MAR, -   ,1,26,23,47,2,88,15,2,24, -   ,2, -   , -   ,2
2,MEJILLONES,PESCADO NO CLASIFICADO, -   , -   , -   ,16,21,6,10, -   , -   , -   , -   ,47,20,13,135
2,MEJILLONES,SARDINA COMUN,35,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,MEJILLONES,SARDINA ESPAÑOLA,"4,942","3,385",555,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,TALTAL,CAMARON NAILON,7,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,TALTAL,MERLUZA COMUN,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,TALTAL,TIBURON O MARRAJO, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   
2,TOCOPILLA,AGUJILLA, -   ,170,80,265,206,128,18,27,29,33,294,554,594, -   , -   
2,TOCOPILLA,ANCHOVETA,"109,358","54,120","73,133","56,335","124,469","93,338","44,104","37,953","48,996","40,782","45,094","62,287","12,623", -   , -   
2,TOCOPILLA,BACALADILLO O MOTE, -   , -   , -   , -   ,19,207,"1,033", -   , -   , -   ,347,284, -   , -   , -   
2,TOCOPILLA,BONITO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   
2,TOCOPILLA,CABALLA,"7,419","11,414","12,560","29,969","25,753","3,424","2,526","2,023","1,025","1,021","6,180",612,258, -   , -   
2,TOCOPILLA,JIBIA O CALAMAR ROJO, -   ,38,19,146,413,265,29,112,102,37,118,117,14, -   , -   
2,TOCOPILLA,JUREL,"17,822","24,434","17,562","22,394","37,857","24,695","12,089","14,217","15,064","8,615","37,899","5,475","1,236", -   , -   
2,TOCOPILLA,LANGOSTINO ENANO, -   , -   , -   ,37,71,3, -   , -   , -   ,1,31,40, -   , -   , -   
2,TOCOPILLA,MOLUSCO NO CLASIFICADO, -   , -   , -   , -   , -   , -   , -   , -   ,14, -   , -   , -   , -   , -   , -   
2,TOCOPILLA,PAMPANITO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   
2,TOCOPILLA,PEJERREY DE MAR, -   ,5,26,105,166,14,114,34,131,21,9,7,50, -   , -   
2,TOCOPILLA,PESCADO NO CLASIFICADO, -   , -   , -   ,7,248,117,25, -   , -   , -   ,739,100, -   , -   , -   
2,TOCOPILLA,SARDINA ESPAÑOLA,"1,227","1,041",183,13, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,ALBACORA O PEZ ESPADA,3,15,2,8,5,4, -   ,25, -   , -   ,4,5, -   , -   , -   
3,CALDERA,ANCHOVETA,"21,778","5,558",195,"13,912","7,557", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3,CALDERA,ATUN ALETA AMARILLA, -   , -   , -   ,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
