REGION,PORT,SPECIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
5,SAN ANTONIO,PICHIBUENO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7
5,SAN ANTONIO,RAYA VOLANTIN, -   , -   , -   ,8,37, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   
5,SAN ANTONIO,REINETA,17, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,SARDINA COMUN,"6,542", -   ,186,21,"2,555",272,"2,010",343,12,"2,356","1,646","1,230", -   , -   , -   
5,SAN ANTONIO,SARDINA ESPAÑOLA,9, -   , -   , -   ,7,32,5, -   , -   , -   , -   , -   , -   , -   , -   
5,SAN ANTONIO,SIERRA, -   , -   , -   , -   , -   , -   , -   , -   ,1,2, -   , -   , -   , -   , -   
5,SAN ANTONIO,TIBURON O MARRAJO, -   ,2, -   ,1,5, -   ,2,1,3,8,2,5,7, -   , -   
5,SAN ANTONIO,TOLLO, -   , -   ,7, -   , -   , -   , -   , -   , -   ,2, -   , -   , -   , -   ,1
5,VALPARAISO,ALBACORA O PEZ ESPADA,206,33,58,57,6,42,26, -   ,29,28,4, -   , -   , -   , -   
5,VALPARAISO,ALFONSINO, -   , -   , -   ,5, -   ,5, -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,ANCHOVETA, -   ,111, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,ATUN OJOS GRANDES,3, -   , -   , -   , -   ,1,2, -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,AZULEJO,2,12,14,6, -   , -   , -   ,1,21,6, -   , -   , -   , -   , -   
5,VALPARAISO,BACALAO DE PROFUNDIDAD,3,5,10,1,7,3,5, -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,BESUGO,105,38, -   ,18,38,"1,094",365,5,1, -   ,2, -   , -   , -   , -   
5,VALPARAISO,BONITO, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,CAMARON NAILON,31,47,49,318,385,189,268,357,338,183,297,303,150,235, -   
5,VALPARAISO,CANGREJO DORADO DE J. FERNANDEZ, -   , -   , -   , -   ,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,CONGRIO DORADO,11, -   , -   ,2,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,CONGRIO NEGRO, -   , -   , -   ,15,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,GAMBA, -   ,1,19,189,26,62,124,84, -   , -   ,1, -   ,1, -   , -   
5,VALPARAISO,JIBIA O CALAMAR ROJO, -   , -   ,2,2,5,9,4, -   , -   , -   ,14,3, -   , -   , -   
5,VALPARAISO,LANGOSTINO AMARILLO,162,5,130, -   ,14,2,200,390,200,364,196,592,102,117, -   
5,VALPARAISO,LANGOSTINO COLORADO,46, -   , -   , -   , -   , -   , -   , -   , -   ,16,93,140,218,351, -   
5,VALPARAISO,MERLUZA COMUN,"8,422","2,905",585,"2,272","2,532",447,428,238,250,223,441,221,156,33, -   
5,VALPARAISO,MERLUZA DE COLA,10, -   , -   , -   ,1, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,ORANGE ROUGHY, -   , -   , -   ,24, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,PEJEGALLO, -   , -   , -   ,2,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,PESCADO NO CLASIFICADO,3,2,2,1, -   ,1,2, -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,PULPO, -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,RAYA ESPINOSA, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,RAYA NEGRA, -   , -   , -   , -   , -   , -   , -   , -   , -   ,36, -   , -   ,34, -   , -   
5,VALPARAISO,RAYA VOLANTIN, -   , -   ,1,143,81,18,2,30, -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,REINETA, -   ,96,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,SIERRA, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
5,VALPARAISO,TIBURON O MARRAJO,6,11,9, -   ,1,3,1,4,3,7, -   , -   , -   , -   , -   
7,CONSTITUCION,ALBACORA O PEZ ESPADA,1,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
7,CONSTITUCION,BACALAO DE PROFUNDIDAD,47,11,4, -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   
7,CONSTITUCION,CONGRIO DORADO, -   ,15,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
7,CONSTITUCION,CONGRIO NEGRO,49,151,50, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
7,CONSTITUCION,GAMBA, -   , -   , -   ,1, -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   
7,CONSTITUCION,MERLUZA COMUN, -   , -   , -   , -   , -   , -   , -   , -   , -   ,7, -   , -   , -   , -   , -   
7,CONSTITUCION,RAYA VOLANTIN, -   ,2,18, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
7,CONSTITUCION,REINETA, -   ,33, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,AGUJILLA,35,128, -   , -   , -   ,1, -   , -   , -   , -   , -   ,1, -   , -   , -   
8,CORONEL,ALFONSINO, -   , -   , -   , -   ,807,11,4,18,100,29,449, -   , -   , -   , -   
8,CORONEL,ANCHOVETA,"55,289","5,853","12,314","13,365","29,749","40,427","45,858","71,530","64,726","46,916","31,143","6,847","10,027","2,775","3,714"
8,CORONEL,BACALADILLO O MOTE, -   , -   , -   , -   , -   ,"2,123",92, -   ,39, -   ,11,674,384,"4,629","1,693"
8,CORONEL,BESUGO, -   ,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,BONITO,6,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,CABALLA,"7,910","74,303","40,076","42,931","86,078","49,749","65,866","68,187","5,921","9,862","3,212","1,897",814,"5,248","4,873"
8,CORONEL,COJINOBA DEL NORTE,4, -   ,1, -   , -   , -   , -   ,12,20, -   ,1, -   , -   , -   , -   
8,CORONEL,COJINOBA DEL SUR,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,COJINOBA MOTEADA, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,CONGRIO NEGRO, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,JIBIA O CALAMAR ROJO, -   ,129,33,526,"1,964","3,916","3,141","19,741","3,145",450,"40,373","2,667",249,"2,841","15,958"
8,CORONEL,JUREL,"365,090","438,629","375,054","248,310","314,622","409,937","385,914","403,755","50,492","123,735","32,320","61,255","110,646","111,738","156,514"
8,CORONEL,JUREL FINO, -   , -   , -   , -   , -   ,2, -   ,125, -   , -   , -   , -   , -   , -   , -   
8,CORONEL,LISA, -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,MACHUELO O TRITRE,14,11,96,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,MERLUZA COMUN, -   ,42,69,15, -   , -   , -   ,1,6, -   ,417, -   , -   , -   , -   
8,CORONEL,MERLUZA DE COLA,"29,481","45,956","25,989","12,727","1,425","10,093","1,589", -   ,897, -   , -   ,303, -   ,"6,668", -   
8,CORONEL,MERLUZA DE TRES ALETAS,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,MERLUZA DEL SUR O AUSTRAL, -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,ORANGE ROUGHY, -   ,30, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,PALOMETA,17, -   ,3,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,PAMPANITO, -   , -   ,10, -   , -   ,22,21,15, -   , -   , -   , -   ,21, -   ,11
8,CORONEL,PEJEGALLO, -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,CORONEL,PESCADO NO CLASIFICADO, -   , -   , -   , -   ,29, -   , -   , -   , -   , -   , -   , -   ,10,72,54
8,CORONEL,PEZ RUBIO, -   , -   , -   , -   , -   , -   , -   , -   ,907,3,91, -   , -   , -   , -   
8,CORONEL,REINETA,9, -   ,3, -   , -   , -   , -   , -   ,5, -   , -   , -   , -   ,9,5
8,CORONEL,SARDINA COMUN,"157,530","12,562","7,182","6,863","15,979","20,016","23,231","40,577","93,056","97,393","73,810","103,838","111,257","27,951","41,051"
8,CORONEL,SARDINA ESPAÑOLA,266,570,278, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8
8,CORONEL,SIERRA,1,91,93,52,70,374,77,10,64,22,80,34, -   ,2,1
8,LIRQUEN,BESUGO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   
8,LIRQUEN,MERLUZA COMUN, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,684, -   , -   , -   , -   
8,LIRQUEN,MERLUZA DE COLA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   , -   
8,LOTA,ANCHOVETA, -   , -   , -   , -   , -   , -   ,"7,317","2,582","4,243","1,953","14,726","3,015",751,493,144
8,LOTA,BACALADILLO O MOTE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,765,3,"3,109",23
8,LOTA,CABALLA, -   , -   , -   , -   , -   , -   ,"6,988","3,481",202,294,363,"1,505",48,78,28
8,LOTA,JIBIA O CALAMAR ROJO, -   , -   , -   , -   , -   , -   ,676,"6,645", -   , -   ,"18,854","1,148",182,20,1
8,LOTA,JUREL, -   , -   , -   , -   , -   ,"1,970","31,144","16,851","2,447","4,702","8,494","12,037","3,466","3,586","2,243"
8,LOTA,MERLUZA DE COLA, -   , -   , -   , -   , -   , -   ,3, -   , -   , -   ,"8,670","10,061","3,986","1,110", -   
8,LOTA,SARDINA COMUN, -   , -   , -   , -   , -   , -   ,"4,284","2,385","8,710","6,612","28,341","19,931","14,265","5,053","7,481"
8,LOTA,SIERRA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   
8,SAN VICENTE,ACHA O HACHA, -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,AGUJILLA,62,11, -   , -   , -   ,10, -   , -   , -   , -   , -   , -   , -   ,5,14
8,SAN VICENTE,ALBACORA O PEZ ESPADA,11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,ALFONSINO, -   ,554,220,29,68,49, -   , -   ,287,153,25, -   , -   , -   , -   
8,SAN VICENTE,ANCHOVETA,"187,081","8,810","27,267","49,559","73,953","76,553","76,996","83,877","104,668","105,549","28,219","2,411","2,354","1,912",637
8,SAN VICENTE,ATUN ALETA AMARILLA,2, -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,ATUN ALETA LARGA, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,ATUN OJOS GRANDES, -   , -   , -   , -   , -   ,8, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,AZULEJO, -   , -   , -   , -   , -   ,6, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,BACALADILLO O MOTE, -   , -   , -   , -   , -   ,36, -   , -   , -   , -   , -   ,87,147,"3,281",432
8,SAN VICENTE,BACALAO DE PROFUNDIDAD,2,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,BESUGO,4,"1,454",102,178,98,291,136,334,180,147,62,73,17,13,1
8,SAN VICENTE,BLANQUILLO,43, -   , -   , -   , -   , -   ,1, -   ,1,1,1,1, -   , -   , -   
8,SAN VICENTE,BONITO,15,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,CABALLA,"9,082","80,151","84,216","93,258","138,454","62,625","87,603","76,303","5,941","14,255","4,372","3,469","6,199","9,209","5,279"
8,SAN VICENTE,CABINZA,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
8,SAN VICENTE,CABRILLA,8, -   , -   ,2,2,5,5, -   ,1, -   , -   , -   , -   , -   , -   
8,SAN VICENTE,CALAMAR,1, -   ,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
8,SAN VICENTE,CAMARON NAILON,13, -   , -   , -   , -   , -   ,7, -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,CHANCHARRO, -   , -   ,1, -   ,2,1, -   , -   , -   , -   , -   ,1, -   , -   ,13
8,SAN VICENTE,COCHINILLA, -   ,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,COJINOBA DEL NORTE,26, -   , -   , -   , -   , -   , -   ,31,1,2, -   , -   , -   , -   , -   
8,SAN VICENTE,COJINOBA DEL SUR,2, -   ,13, -   , -   ,4,2, -   ,1, -   , -   , -   ,11, -   , -   
8,SAN VICENTE,CONGRIO DORADO,11,28,7,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,CONGRIO NEGRO,113,21,77,181,147,175,145,18,52,6,38,43,5,5,17
8,SAN VICENTE,CORVINA,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,13, -   , -   
8,SAN VICENTE,DORADO,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,DORADO DE ALTURA, -   , -   , -   , -   ,26,4, -   ,2, -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,GAMBA,5,12,6, -   ,17, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,HUAIQUIL O CORVINILLA, -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   
8,SAN VICENTE,JIBIA O CALAMAR ROJO, -   , -   ,203, -   ,"2,837","6,002","2,496","12,716","3,684","2,707","68,866","1,560","4,017","1,428","12,609"
8,SAN VICENTE,JUREL,"495,956","617,190","643,741","391,426","454,729","360,577","432,412","386,030","87,072","159,293","49,037","39,700","57,510","56,609","71,675"
8,SAN VICENTE,JUREL FINO, -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,LANGOSTINO COLORADO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,68, -   , -   , -   , -   , -   
8,SAN VICENTE,LENGUADO, -   , -   , -   , -   , -   , -   , -   , -   ,1,1,3,3, -   , -   , -   
8,SAN VICENTE,LENGUADO DE OJOS CHICOS,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,LENGUADO OJOS GRANDES, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5, -   , -   
8,SAN VICENTE,LISA,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,MACHUELO O TRITRE,11, -   , -   , -   ,30,2, -   , -   , -   , -   , -   , -   , -   , -   ,33
8,SAN VICENTE,MARRAJO DENTUDO, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,MERLUZA COMUN,"7,160","20,382","30,359","29,971","16,750","15,621","15,830","14,214","20,145","19,896","20,619","17,452","15,241","11,584","8,417"
8,SAN VICENTE,MERLUZA DE COLA,"36,004","55,900","36,993","9,078","8,224","11,700","15,719","12,969","19,029","24,373","9,873","11,455","12,219","4,700","4,500"
8,SAN VICENTE,MERLUZA DEL SUR O AUSTRAL, -   ,135,151,69,37,50,41,10,62,28,27,82,39,34,1
8,SAN VICENTE,ORANGE ROUGHY, -   ,255,168,18,199, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   
8,SAN VICENTE,PALOMETA,14,1, -   ,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,PAMPANITO, -   , -   , -   , -   , -   , -   , -   , -   ,10, -   , -   , -   , -   ,1,135
8,SAN VICENTE,PEJEGALLO,167,3,2,39,35,10,6,4,1,5,5,2,4,2,1
8,SAN VICENTE,PEJERREY DE MAR,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,PESCADO NO CLASIFICADO, -   ,3, -   , -   ,5,1, -   , -   ,1, -   , -   ,1,12,192,17
8,SAN VICENTE,PEZ RUBIO, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   
8,SAN VICENTE,PEZ SOL, -   , -   , -   , -   , -   ,12, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,RAYA ESPINOSA, -   , -   , -   , -   , -   , -   , -   , -   ,1,5,2,1, -   ,1,1
8,SAN VICENTE,RAYA VOLANTIN,1, -   ,4, -   , -   , -   , -   , -   ,4,2,5, -   ,2, -   , -   
8,SAN VICENTE,REINETA,6,64,10,29,43,59,62,11,3, -   ,5,43,26,8,4
8,SAN VICENTE,ROBALO,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,RONCACHO,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,SARDINA COMUN,"156,297","10,379","13,845","19,570","33,648","14,021","29,546","39,440","104,062","115,146","59,127","55,237","62,602","14,530","22,123"
8,SAN VICENTE,SARDINA ESPAÑOLA,941,64,746, -   , -   , -   ,80,93,97,41, -   , -   , -   , -   , -   
8,SAN VICENTE,SIERRA,24,3,99,2,47,34,3,47,29,3,2,4,32, -   , -   
8,SAN VICENTE,TIBURON O MARRAJO,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,TOLLO,36, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,SAN VICENTE,VINCIGUERRIA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,360, -   , -   
8,TALCAHUANO,ACHA O HACHA, -   , -   , -   , -   , -   ,4, -   ,1, -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,AGUJILLA,3,"2,345", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,ALBACORA O PEZ ESPADA, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,ALFONSINO,"3,970","4,569","7,944","9,001","1,933","2,729","2,373","2,610","2,219",927,474,212, -   , -   , -   
8,TALCAHUANO,ANCHOVETA,"55,047","3,820","12,445","16,316","20,334","26,768","19,209", -   ,120, -   , -   , -   ,120, -   , -   
8,TALCAHUANO,ANGUILA,4,88, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,ATUN OJOS GRANDES, -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,AZULEJO, -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,BACALAO DE PROFUNDIDAD, -   , -   , -   ,2, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,BESUGO,"5,653","3,086","1,452","2,918","1,785",757,880,328,148,17,19,1,1,9, -   
8,TALCAHUANO,BLANQUILLO,14, -   ,1,14,16,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,BONITO,4,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,BROTULA, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CABALLA,"4,674","49,928","34,562","30,637","61,172","57,652","37,300",200, -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CABINZA,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CABRILLA,5, -   , -   ,2,5,3,1, -   ,1, -   , -   ,1, -   , -   , -   
8,TALCAHUANO,CABRILLA COMUN,7, -   , -   ,8,5,1,2, -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CACHURRETA, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CALAMAR,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CAMARON DE TALUD,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CAMARON NAILON,98,1,9, -   ,84,331,889,956,577,601,947,949,656,"1,178",958
8,TALCAHUANO,CHANCHARRO,12,14, -   ,4,33,18,20,8,1, -   , -   ,2,6, -   , -   
8,TALCAHUANO,COCHINILLA,"1,384", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,COJINOBA DEL NORTE,90,43,1, -   , -   , -   ,1, -   , -   , -   , -   ,1, -   , -   , -   
8,TALCAHUANO,COJINOBA DEL SUR,4,5, -   , -   ,15,7,6,6,1, -   , -   ,1,2, -   , -   
8,TALCAHUANO,COJINOBA MOTEADA,3, -   , -   ,3,18,12, -   ,1,2, -   ,82,3,9, -   , -   
8,TALCAHUANO,CONGRIO COLORADO,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,CONGRIO DORADO,274,342,66,83,83,34,87,5,5, -   , -   ,54,46, -   , -   
8,TALCAHUANO,CONGRIO NEGRO,513,425,185,602,470,361,100,10,16,23,32,40,16,13, -   
8,TALCAHUANO,CORVINA,2, -   , -   , -   , -   ,2,6, -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,DORADO,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,DORADO DE ALTURA, -   , -   , -   , -   ,20,49,5,6, -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,GAMBA,110,55,10, -   ,1,6,8,4, -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,JIBIA O CALAMAR ROJO,4, -   ,27,349,706,920,628, -   ,4, -   ,99,"15,060","24,627","4,557","22,538"
8,TALCAHUANO,JUREL,"166,121","236,155","234,627","103,152","125,094","170,925","166,908","1,159", -   , -   ,5, -   ,170, -   , -   
8,TALCAHUANO,LANGOSTINO AMARILLO,73, -   ,28, -   ,10,6,14,1,5, -   , -   ,47, -   ,1,17
8,TALCAHUANO,LANGOSTINO COLORADO,"3,363", -   ,135, -   ,25,20,28,24,21,251,299,64,11,54,80
8,TALCAHUANO,LENGUADO, -   , -   , -   , -   , -   ,46,45,16,1, -   , -   , -   , -   , -   , -   
8,TALCAHUANO,LENGUADO DE OJOS CHICOS,15, -   , -   ,20,45, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,MACHUELO O TRITRE,26,37, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,MERLUZA COMUN,"52,363","49,158","46,069","44,398","27,776","19,045","21,661","16,293","10,039","7,868","5,744","7,737","7,355","8,746","1,108"
8,TALCAHUANO,MERLUZA DE COLA,"9,785","26,244","32,088","26,096","7,771","4,111","3,514","3,625","2,562",524,450,942,"1,198","1,641",417
8,TALCAHUANO,MERLUZA DE TRES ALETAS,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,MERLUZA DEL SUR O AUSTRAL,33,288,109,441,795,340,169,193,35,44,3,77,264,60,136
8,TALCAHUANO,ORANGE ROUGHY,"1,139","1,583","1,335","1,206",525,340,259,5, -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,PALOMETA,110,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,PAMPANITO,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,PEJEGALLO,47,73,35,94,332,59,58,5,1,1, -   ,1,2,2, -   
8,TALCAHUANO,PEJERRATA,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,PEJERREY DE MAR, -   , -   , -   , -   , -   , -   , -   ,10, -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,PESCADO NO CLASIFICADO,31, -   , -   , -   ,1,4,2,2,6, -   , -   , -   ,143,2, -   
8,TALCAHUANO,PEZ RUBIO, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   
8,TALCAHUANO,PEZ SOL, -   , -   , -   , -   , -   ,7, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,RAYA AGUILA, -   , -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,RAYA ESPINOSA, -   , -   , -   , -   ,26,12,48,46,5, -   , -   , -   , -   , -   , -   
8,TALCAHUANO,RAYA MOTEADA, -   , -   , -   , -   ,5, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,RAYA VOLANTIN,64,98,101,353,273,100,88,25,19, -   , -   ,9,1, -   , -   
8,TALCAHUANO,REINETA,137,522,12,17,114,74,29,25,2, -   , -   ,11,308,4, -   
8,TALCAHUANO,SARDINA COMUN,"69,572","6,264","7,213","8,789","13,177","11,304","10,319", -   ,175, -   , -   , -   ,"1,171", -   , -   
8,TALCAHUANO,SARDINA ESPAÑOLA,18,589, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,SIERRA,88,8,10,4,42,4, -   , -   , -   ,1, -   , -   ,5, -   , -   
8,TALCAHUANO,TIBURON O MARRAJO, -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,TOLLO,10, -   , -   , -   ,1,2,3, -   , -   , -   , -   , -   , -   , -   , -   
8,TALCAHUANO,TOLLO DE CACHOS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   
8,TALCAHUANO,VINCIGUERRIA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,63, -   , -   
8,TOME,AGUJILLA, -   ,220, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TOME,ANCHOVETA,"7,146","2,358", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
8,TOME,BROTULA,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
